Label number,Block number,x,y,z
0,31,384,264,33
114,32,203,330,7
2,18,352,323,28
7,11,364,229,26
68,32,344,118,14
102,5,455,177,0
120,5,297,348,28
130,5,269,337,28
174,5,488,316,26
184,18,370,265,29
187,18,568,145,28
199,40,357,401,2
349,5,463,327,1
393,40,486,136,5
445,18,389,417,20
513,-1,-1,-1,-1
514,-1,-1,-1,-1
602,15,635,326,16
3,42,431,287,8
103,-1,-1,-1,-1
106,5,193,346,30
108,5,320,371,24
111,5,239,398,31
117,5,226,323,21
127,-1,-1,-1,-1
128,5,383,331,20
129,5,357,352,26
146,5,398,315,20
158,5,410,301,21
99,11,276,511,34
113,11,292,519,30
125,5,396,330,31
155,5,419,341,23
156,5,419,335,22
157,5,425,332,22
50,11,281,212,16
383,18,544,93,7
620,-1,-1,-1,-1
688,16,401,245,15
328,18,533,126,3
611,29,369,278,18
595,3,430,246,7
597,29,440,250,18
190,5,200,315,18
191,5,205,320,18
201,18,460,34,19
218,18,466,102,27
219,18,474,34,17
220,5,170,292,5
221,5,152,312,0
222,18,507,136,20
223,5,216,303,16
224,5,205,349,12
225,18,428,39,23
226,18,415,170,24
246,5,239,342,15
250,-1,-1,-1,-1
251,-1,-1,-1,-1
252,5,185,314,10
253,18,372,97,19
254,40,412,238,16
260,5,173,355,1
274,18,431,139,28
276,18,402,113,25
282,18,428,71,11
283,18,453,140,22
284,18,396,105,23
285,18,434,104,21
286,5,176,347,8
296,5,187,343,9
303,18,465,60,12
312,18,436,67,10
313,18,425,131,0
314,18,447,172,20
317,-1,-1,-1,-1
322,18,399,139,24
350,18,528,157,12
378,18,483,67,28
379,18,457,97,1
380,40,362,412,30
381,18,488,196,0
382,-1,-1,-1,-1
394,18,437,170,16
395,18,396,142,15
396,18,428,173,0
397,18,396,152,2
398,18,378,115,6
399,18,378,91,12
400,-1,-1,-1,-1
423,18,419,200,0
424,18,404,198,5
425,18,436,117,19
426,18,384,125,12
430,40,413,425,20
441,40,366,324,20
442,-1,-1,-1,-1
443,40,339,423,32
444,40,408,458,26
454,40,414,358,24
458,40,425,305,24
459,18,402,303,0
477,-1,-1,-1,-1
478,40,456,332,20
479,-1,-1,-1,-1
484,40,492,257,22
492,40,453,397,24
493,-1,-1,-1,-1
504,40,495,273,15
505,40,507,280,14
508,40,416,348,11
510,5,177,331,6
511,40,507,281,17
512,22,416,66,12
517,40,380,299,16
519,40,458,257,13
808,5,263,487,27
809,37,202,129,0
810,-1,-1,-1,-1
811,40,334,393,20
812,40,469,312,17
813,40,427,394,1
814,40,392,412,16
815,22,404,84,19
816,22,419,143,19
817,-1,-1,-1,-1
818,-1,-1,-1,-1
48,32,445,189,9
49,5,219,245,20
118,5,229,168,32
79,5,371,222,31
119,5,312,287,29
206,5,318,299,14
210,5,191,316,4
16,22,496,90,1
386,37,288,65,8
403,18,326,144,13
412,37,257,57,5
415,-1,-1,-1,-1
435,37,264,59,9
436,37,229,49,14
447,37,214,68,8
464,37,226,51,8
465,37,118,83,16
471,37,155,78,20
499,22,490,79,11
507,37,179,79,8
515,0,139,333,3
520,37,96,72,19
521,37,148,68,14
524,-1,-1,-1,-1
525,37,54,137,23
527,22,448,81,8
528,37,110,81,19
531,0,180,336,2
538,37,134,114,14
541,37,110,94,15
542,37,124,168,19
543,0,196,434,32
580,0,238,395,12
583,-1,-1,-1,-1
589,0,165,290,15
591,0,190,343,30
592,-1,-1,-1,-1
598,0,154,383,24
600,0,154,290,4
610,0,169,282,18
617,0,151,270,20
624,-1,-1,-1,-1
645,0,148,283,8
647,22,498,97,16
649,22,485,93,13
659,0,165,356,32
660,22,480,99,16
662,31,536,286,3
666,22,448,110,18
669,-1,-1,-1,-1
676,22,442,105,11
677,22,450,143,22
682,22,418,85,16
683,22,403,110,12
687,31,558,330,31
689,22,450,169,12
690,22,434,128,11
693,31,528,333,24
694,22,411,105,30
695,31,528,313,8
697,22,416,152,10
699,31,520,329,10
703,22,423,139,22
717,31,569,316,12
724,31,553,328,20
725,31,563,321,25
726,31,565,358,12
731,22,423,176,18
755,31,555,329,11
756,31,574,284,1
765,31,573,314,16
771,-1,-1,-1,-1
777,31,497,300,1
779,0,245,416,4
794,-1,-1,-1,-1
819,22,509,190,16
826,22,494,110,33
827,-1,-1,-1,-1
828,37,158,159,16
829,37,248,136,17
830,37,276,104,17
831,-1,-1,-1,-1
832,-1,-1,-1,-1
833,-1,-1,-1,-1
834,-1,-1,-1,-1
835,-1,-1,-1,-1
836,-1,-1,-1,-1
837,0,259,346,0
838,-1,-1,-1,-1
839,-1,-1,-1,-1
840,-1,-1,-1,-1
841,0,153,407,28
842,37,139,159,20
320,-1,-1,-1,-1
326,5,419,437,13
327,-1,-1,-1,-1
343,18,331,394,22
344,18,340,391,8
345,18,332,394,28
346,18,318,411,26
347,40,569,288,24
348,-1,-1,-1,-1
354,18,342,307,28
358,-1,-1,-1,-1
364,18,308,265,4
365,18,319,269,4
367,18,295,293,15
368,18,268,225,29
369,18,290,215,28
370,18,290,235,29
371,18,298,247,29
372,18,303,302,19
373,18,350,270,24
374,18,334,243,31
375,18,330,303,10
392,40,580,215,28
404,18,319,330,30
405,18,319,332,30
407,18,317,337,30
408,18,342,356,31
409,18,360,371,24
410,18,353,349,31
411,18,369,371,24
418,18,338,354,21
419,18,347,349,22
420,18,346,348,19
421,18,350,353,13
422,18,315,267,9
432,18,327,354,21
461,40,558,290,26
500,18,318,293,32
558,15,619,290,20
559,15,617,287,20
561,15,632,293,18
562,15,623,300,15
563,15,625,291,12
564,15,620,290,13
565,15,597,270,14
566,15,601,303,16
567,15,602,304,18
568,15,600,307,18
569,15,598,309,18
571,15,630,310,16
572,15,641,314,16
573,15,611,302,19
574,15,610,302,20
575,15,636,299,17
576,15,643,268,23
339,5,456,433,9
340,5,434,414,2
341,5,439,409,5
342,5,412,397,2
214,5,432,346,17
215,5,460,361,31
216,5,404,401,14
217,5,387,372,5
238,5,397,366,17
240,5,406,393,3
242,5,390,373,21
249,-1,-1,-1,-1
277,5,402,332,0
278,5,418,326,2
279,5,374,334,6
292,-1,-1,-1,-1
295,18,383,318,29
300,-1,-1,-1,-1
301,5,355,392,6
319,-1,-1,-1,-1
376,-1,-1,-1,-1
377,5,460,404,25
95,-1,-1,-1,-1
100,32,312,235,2
101,32,341,271,0
147,5,200,385,30
149,5,242,382,24
150,5,233,429,30
160,5,257,444,28
164,5,221,412,28
177,-1,-1,-1,-1
179,40,443,455,26
181,5,222,403,32
182,5,240,431,28
192,5,240,398,26
193,5,251,433,31
194,5,216,385,14
195,-1,-1,-1,-1
196,5,284,413,22
197,-1,-1,-1,-1
198,5,252,483,18
207,5,243,453,24
227,5,236,433,19
228,5,229,357,17
229,5,226,404,21
230,5,266,415,17
231,5,274,409,18
232,5,287,385,15
234,5,210,348,17
243,5,240,415,21
244,5,256,445,21
245,5,263,466,20
255,5,248,423,20
256,5,278,416,11
268,5,274,420,13
269,5,283,393,14
275,5,230,398,5
287,5,228,380,9
289,5,247,389,9
297,18,337,125,20
298,5,233,459,1
304,5,236,423,1
305,5,262,461,3
306,5,250,450,4
307,5,243,464,1
308,5,272,453,6
309,18,382,140,26
325,18,385,131,28
333,-1,-1,-1,-1
351,-1,-1,-1,-1
208,5,301,415,17
209,5,282,406,18
310,18,306,153,21
352,37,221,100,17
449,-1,-1,-1,-1
384,37,123,95,20
385,18,307,132,8
401,18,320,172,6
431,37,220,127,29
468,40,431,428,22
469,40,441,415,12
470,40,419,445,16
472,40,430,447,14
496,40,463,390,14
498,40,474,260,24
526,40,438,420,11
315,18,338,147,22
316,18,383,186,18
321,18,348,162,20
433,18,367,186,10
69,40,504,126,4
291,40,539,229,28
161,5,275,457,32
